Comment,Cleaned_Comment,Sentiment_Label
Skip navigation,skip navigation,Neutral
Sign in,sign in,Neutral
Join,join,Positive
Subscribe,subscribe,Neutral
,,Neutral
"Time and again we are reminded of how unsafe is our country for a Women, another crime against a medical student has been reported in Kolkata. This crime occurred within the confines of",time and again we are reminded of how unsafe is our country for a women another crime against a medical student has been reported in kolkata this crime occurred within the confines of,Negative
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
,,Neutral
See what others said about this video while it was live.,see what others said about this video while it was live,Neutral
,,Neutral
Who Wants Justice for all Victims?,who wants justice for all victims,Positive
Reply,reply,Neutral
214 replies,replies,Neutral
,,Neutral
"Finally clarification mila.
India needs you .
A true journalist","finally clarification mila
india needs you 
a true journalist",Positive
Reply,reply,Neutral
37 replies,replies,Neutral
,,Neutral
Nitish rajput = Zero politics + pure content + Presentation style is absolutely perfect,nitish rajput  zero politics  pure content  presentation style is absolutely perfect,Positive
Reply,reply,Neutral
86 replies,replies,Neutral
,,Neutral
Hats off Nitish. Appreciate the hardwork you do in providing sourceful information. Justice for Dr. Moumita  may God bless her soul,hats off nitish appreciate the hardwork you do in providing sourceful information justice for dr moumita  may god bless her soul,Positive
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
"Protect your daughter 
Educate your son
Educate your husband 
Educate your brother 
That's enough to keep our country safe","protect your daughter 
educate your son
educate your husband 
educate your brother 
thats enough to keep our country safe",Positive
Reply,reply,Neutral
317 replies,replies,Neutral
,,Neutral
"Government is trying to silence the victims parents, shows how cruel the government is",government is trying to silence the victims parents shows how cruel the government is,Negative
Reply,reply,Neutral
108 replies,replies,Neutral
,,Neutral
The only Youtuber i fully trust ... No one like You Nitish Sir,the only youtuber i fully trust  no one like you nitish sir,Neutral
Reply,reply,Neutral
61 replies,replies,Neutral
,,Neutral
आपने बहुत परिश्रम से पूरी घटना को समझाया है,,Neutral
Reply,reply,Neutral
Itni Behtreen Tarike Se Kisi Case Ko Dikhana Pehli Bar You Tube Pe Dekha Hai Thanks,itni behtreen tarike se kisi case ko dikhana pehli bar you tube pe dekha hai thanks,Positive
Reply,reply,Neutral
8 replies,replies,Neutral
,,Neutral
"Video bahut knowledgeable hoti hai

Or kisi bhi party ke under nhi hoti yahi baat hme sabse achhi lagti hai","video bahut knowledgeable hoti hai

or kisi bhi party ke under nhi hoti yahi baat hme sabse achhi lagti hai",Positive
Reply,reply,Neutral
44 replies,replies,Neutral
,,Neutral
"I am from West Bengal. I have seen many videos on this topic. No one gave detailed information without being completely neutral. Even after i watching news all day, I did not get as much information as I got from this video. Salute Sir, our country needs you a lot.",i am from west bengal i have seen many videos on this topic no one gave detailed information without being completely neutral even after i watching news all day i did not get as much information as i got from this video salute sir our country needs you a lot,Negative
Reply,reply,Neutral
30 replies,replies,Neutral
,,Neutral
"zero politics role and uplfiting the truth,the one and only nitish sir.No one can do what do you do big bro and the information gathered,explaining is just superb.Keep doing what you do big bro and may you accomplished more in life.",zero politics role and uplfiting the truththe one and only nitish sirno one can do what do you do big bro and the information gatheredexplaining is just superbkeep doing what you do big bro and may you accomplished more in life,Positive
Reply,reply,Neutral
"Dear Nitish ji,
You deserve a lot of respect from my side without favouritism any person or political parties.","dear nitish ji
you deserve a lot of respect from my side without favouritism any person or political parties",Positive
Reply,reply,Neutral
2 replies,replies,Neutral
,,Neutral
As a law student! I appreciate the amount of research and due diligence you do before publishing any video.,as a law student i appreciate the amount of research and due diligence you do before publishing any video,Positive
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
"Dear Nitish ji,
You deserve a lot of respect from my side without favouritism any person or political parties. Thank u sir .WE WANT JUSTIC","dear nitish ji
you deserve a lot of respect from my side without favouritism any person or political parties thank u sir we want justic",Positive
Reply,reply,Neutral
"आप उन चुनिंदा लोगो में से है जो अपने काम को इतने उत्साह और सच्चाई से करते है की वो काम न रहकर सेवा बन जाती है और सच्ची सेवा यही है की लोगो को भ्रमों से निकालकर सही जानकारी दी जाए जिससे वे अपने अधिकारों को समझे, सही -गलत को पहचाने और स्वतंत्र एवं जिम्मेदार नागरिक बन सके सके l
बहुत बहुत धन्यवाद️️️",l,Positive
Reply,reply,Neutral
"When Nitish said ""Na main bta paunga na aap sun paenge"" This line hurt me a lot",when nitish said na main bta paunga na aap sun paenge this line hurt me a lot,Negative
Reply,reply,Neutral
19 replies,replies,Neutral
,,Neutral
I and surprised why so many big media houses are unable to present all these facts & knowledge with such easy to understand and in such detail !!! Respect to this content creator ..... Always following your videos,i and surprised why so many big media houses are unable to present all these facts  knowledge with such easy to understand and in such detail  respect to this content creator  always following your videos,Positive
Reply,reply,Neutral
Pure YouTube me sirf aap hi ek aise ho jo 100% information dete ho. Thank you bhaiya.,pure youtube me sirf aap hi ek aise ho jo  information dete ho thank you bhaiya,Positive
Reply,reply,Neutral
5 replies,replies,Neutral
,,Neutral
"Clear mindset and pure journalism, liked it bro. India needs people like you to show the mirror and make them realise that for money everything and everyone is selling their values. U explained everything with facts and truth's. Dudh ka dudh Pani ka Pani ... U made everything clear in this case, hope Modi govt will take some action and prove that citizens of India can still keep faith in the govt and live here with dignity.",clear mindset and pure journalism liked it bro india needs people like you to show the mirror and make them realise that for money everything and everyone is selling their values u explained everything with facts and truths dudh ka dudh pani ka pani  u made everything clear in this case hope modi govt will take some action and prove that citizens of india can still keep faith in the govt and live here with dignity,Positive
Reply,reply,Neutral
"He is the best YouTuber I have ever seen these days. No brainwashing, no indirect political support, just pure journalism.",he is the best youtuber i have ever seen these days no brainwashing no indirect political support just pure journalism,Positive
Reply,reply,Neutral
10 replies,replies,Neutral
,,Neutral
Itni details ke baare me to hamara media bhi nahi btata.Really good work by Nitish Rajput,itni details ke baare me to hamara media bhi nahi btatareally good work by nitish rajput,Positive
Reply,reply,Neutral
A huge respect to you for clearing all the points and bringing the truth without supporting any political party.,a huge respect to you for clearing all the points and bringing the truth without supporting any political party,Positive
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
"Nitish Rajput is not only an youtuber but he is a real journalist with no fear of anyone, hats off and feel proud to be a follower of U",nitish rajput is not only an youtuber but he is a real journalist with no fear of anyone hats off and feel proud to be a follower of u,Positive
Reply,reply,Neutral
Itne sare news channel hone ke bawjud bhi itna clear information kisine nahi diya.  Best information,itne sare news channel hone ke bawjud bhi itna clear information kisine nahi diya  best information,Positive
Reply,reply,Neutral
"Kolkata case ko le ke Maine bahut se video dekha lekin samjh nhi aaya  lekin is ko video dekhne ke baat pata chala Puri kahani, itna detail  ke saath koi explain nhi kar sakta .. Superb video h.",kolkata case ko le ke maine bahut se video dekha lekin samjh nhi aaya  lekin is ko video dekhne ke baat pata chala puri kahani itna detail  ke saath koi explain nhi kar sakta  superb video h,Positive
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
I appreciate how this man provided information without pulling her into it when not needed. Thank you for your information,i appreciate how this man provided information without pulling her into it when not needed thank you for your information,Positive
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
OMG your video editor is damn good please appreciate him/her for the hard work they put in your videos,omg your video editor is damn good please appreciate himher for the hard work they put in your videos,Positive
Reply,reply,Neutral
i don't know how many days and nights of efforts you have put for this video... but I'm proud that I watch your content.,i dont know how many days and nights of efforts you have put for this video but im proud that i watch your content,Positive
Reply,reply,Neutral
6 replies,replies,Neutral
,,Neutral
I appreciate how this channel sticks to the facts without any bias—it's refreshing to see objective information presented so clearly. Thank you sir.,i appreciate how this channel sticks to the facts without any biasits refreshing to see objective information presented so clearly thank you sir,Positive
Reply,reply,Neutral
थैंक यू सर इतनी महत्वपूर्ण जानकारी इतनी साफ लफ्जों में बताने के लिए,,Neutral
Reply,reply,Neutral
"Good knowledge given about this case, thanks brother.",good knowledge given about this case thanks brother,Positive
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
Bina skip kiye huye pahli baar koi video dekha hu kitna acha explain Kiya h sir aap ne,bina skip kiye huye pahli baar koi video dekha hu kitna acha explain kiya h sir aap ne,Neutral
Reply,reply,Neutral
Waaah sir Maine bhaut sari videos dekhi YouTube per kolkata case se related but jitni saaf or sachhi baat apne kahi apni video mai utni sachhai ki video mai nahi thi,waaah sir maine bhaut sari videos dekhi youtube per kolkata case se related but jitni saaf or sachhi baat apne kahi apni video mai utni sachhai ki video mai nahi thi,Neutral
Reply,reply,Neutral
9 replies,replies,Neutral
,,Neutral
Salute to Alhtar Ali for report and bravery he showed,salute to alhtar ali for report and bravery he showed,Positive
Reply,reply,Neutral
"Aisi research indian media kyo nhi kar sakti??

Well done Nitish...","aisi research indian media kyo nhi kar sakti

well done nitish",Positive
Reply,reply,Neutral
47 replies,replies,Neutral
,,Neutral
सर आप बहुत अच्छे तरीके से समझाया है और मैं चाहता हूं कि सर पूरी तरीके से जांच हो और जो जो भी आरोपी है उनको पूरी तरीके से सजा मिल,,Neutral
Reply,reply,Neutral
"You have not mentioned any advertisement in this video, you earned my respect sir.",you have not mentioned any advertisement in this video you earned my respect sir,Positive
Reply,reply,Neutral
17 replies,replies,Neutral
,,Neutral
Apne itne behtarin tarike se is ghatna ko rkha hai samne ki wakai sunne & dekhne me bhi kaafi detail clarify ho pa rahi hai.,apne itne behtarin tarike se is ghatna ko rkha hai samne ki wakai sunne  dekhne me bhi kaafi detail clarify ho pa rahi hai,Neutral
Reply,reply,Neutral
Shame on Mamta Banerjee Gov! Appreciate Nitish for his in-depth Analysis!!,shame on mamta banerjee gov appreciate nitish for his indepth analysis,Negative
Reply,reply,Neutral
8 replies,replies,Neutral
,,Neutral
Salute to your Research Journalism. Eye opener for everyone. More than 170 documents/resources have been put together for making this courageous Journalism.,salute to your research journalism eye opener for everyone more than  documentsresources have been put together for making this courageous journalism,Positive
Reply,reply,Neutral
"Justic for Atul Subhash 
Justice is gender neutral 
His sacrifice should not go in vain","justic for atul subhash 
justice is gender neutral 
his sacrifice should not go in vain",Positive
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
#ममता_बनर्जी_इस्तीफा_दो  टीएमसी के विधायक और सांसद इस्तीफा दो।,,Neutral
Reply,reply,Neutral
57 replies,replies,Neutral
,,Neutral
This is called true journalism. Presentation of facts with the facts. I was waiting for your analysis Nitish sir.,this is called true journalism presentation of facts with the facts i was waiting for your analysis nitish sir,Positive
Reply,reply,Neutral
2 replies,replies,Neutral
,,Neutral
Jo media 30 days se 24*7 nahi bata paya vo Nitish bhai ne 39 mins me detail me coved kiya.. this is real journalism.. pure content.,jo media  days se  nahi bata paya vo nitish bhai ne  mins me detail me coved kiya this is real journalism pure content,Neutral
Reply,reply,Neutral
8 replies,replies,Neutral
,,Neutral
Finally a non bengali youtuber talked about it with proper explanation. Your research is commendable. You didn't dilute this incident with the help of other cases.,finally a non bengali youtuber talked about it with proper explanation your research is commendable you didnt dilute this incident with the help of other cases,Positive
Reply,reply,Neutral
3 replies,replies,Neutral
,,Neutral
Don't know how you can gather and manage such a vast amount of information. You are simply great.,dont know how you can gather and manage such a vast amount of information you are simply great,Positive
Reply,reply,Neutral
8 replies,replies,Neutral
,,Neutral
আপনি খুব সুন্দর বলেছেন আরজিকর হসপিটালের ভিতরের এত খবর জানতাম না এই খবর দেয়ার জন্য ধন্যবাদ নীতিশ রাজপুত জি,,Neutral
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
Well explained in a short duration. salute to your case study. everyone should know about this. Well done & keep it up.,well explained in a short duration salute to your case study everyone should know about this well done  keep it up,Positive
Reply,reply,Neutral
"Difference between dhruv rather video and nitish Bhai 
Sab kush clear clear saaf saaf btaya .. hatt off bhaii","difference between dhruv rather video and nitish bhai 
sab kush clear clear saaf saaf btaya  hatt off bhaii",Positive
Reply,reply,Neutral
18 replies,replies,Neutral
,,Neutral
"Your doing great work , bohot se log jagrut or jankar hote hai or one of the best thing is ki jobhi video me baat hoti hai woh description box me mention hota hai   : Thanks!",your doing great work  bohot se log jagrut or jankar hote hai or one of the best thing is ki jobhi video me baat hoti hai woh description box me mention hota hai    thanks,Positive
Reply,reply,Neutral
Kisi bhi news channel ya youtuber itni details mein nahi bataya jitna Nitish rajpoot ne bataya....hats off bro.,kisi bhi news channel ya youtuber itni details mein nahi bataya jitna nitish rajpoot ne batayahats off bro,Neutral
Reply,reply,Neutral
8 replies,replies,Neutral
,,Neutral
This episode deserves to be on international TV media. Respect from Pakistan and condolence to the victim's parents.,this episode deserves to be on international tv media respect from pakistan and condolence to the victims parents,Positive
Reply,reply,Neutral
Most reliable youtuber. Speaks for public not for any political party.,most reliable youtuber speaks for public not for any political party,Positive
Reply,reply,Neutral
8 replies,replies,Neutral
,,Neutral
"नीतीश भाई किसी पार्टी का गुलाम नहीं है...
बिना किसी पक्षपात के शानदार पत्रकारिता",,Neutral
Reply,reply,Neutral
11 replies,replies,Neutral
,,Neutral
"As a Bengali, I'm so so impressed by this video. 
We Bengalis know the real issues , the underlying causes that are all politically related to this case. But rest of India especially in social Media entirely misinterpreted this case as a mere societal issue of rap_ & men vs women issue which is not linked to this specific & contexual issue of Kolkata. 
Regarding this case we can say,
Protect your daughters 
Educate your sons 
Educate citizens to uprise against Maafia Goverment & never elect them","as a bengali im so so impressed by this video 
we bengalis know the real issues  the underlying causes that are all politically related to this case but rest of india especially in social media entirely misinterpreted this case as a mere societal issue of rap  men vs women issue which is not linked to this specific  contexual issue of kolkata 
regarding this case we can say
protect your daughters 
educate your sons 
educate citizens to uprise against maafia goverment  never elect them",Positive
Reply,reply,Neutral
"best case study ever...even more details than media.
""WE WANT JUSTICE"".","best case study evereven more details than media
we want justice",Positive
Reply,reply,Neutral
We really need journalist like you... Thank you,we really need journalist like you thank you,Positive
Reply,reply,Neutral
"Salute and Respect for not including any promotional ad in the video. Such dedication, hard work and honesty will take you to new heights.",salute and respect for not including any promotional ad in the video such dedication hard work and honesty will take you to new heights,Positive
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
Details are appreciated ....full data covered in single video,details are appreciated full data covered in single video,Positive
Reply,reply,Neutral
"nitish bhaiya jab se 
aapki pehli video dekhi h
 jb se aapki ek bhi video
 miss nhi ki or purani bh
i saari dekh li abto debate
 bhi krne lga hu m topics pr
 big thanks to you","nitish bhaiya jab se 
aapki pehli video dekhi h
 jb se aapki ek bhi video
 miss nhi ki or purani bh
i saari dekh li abto debate
 bhi krne lga hu m topics pr
 big thanks to you",Positive
Reply,reply,Neutral
You are gem and true journalist. It's not only a West Bengal vandalism but also national issue. So all true Indian protest against such crime until it's ended.,you are gem and true journalist its not only a west bengal vandalism but also national issue so all true indian protest against such crime until its ended,Negative
Reply,reply,Neutral
"You deserve to be an indipendent Member of Parliament.
We need a leader like you","you deserve to be an indipendent member of parliament
we need a leader like you",Positive
Reply,reply,Neutral
Very well explained . Government should take immediate action & brought justice,very well explained  government should take immediate action  brought justice,Positive
Reply,reply,Neutral
"बिना किसी पक्षपात के सारे बिखरी हुई घटना को समेट करके दिखाना, 
काबिले तारीफ है
Hats of you sirr🇮🇳🇮🇳",hats of you sirr,Neutral
Reply,reply,Neutral
I am really shameful for this horrific act. Strongly condemn it. Terrific work by Nitish. Your unbiased thoughts and details are really inspiring and better than Dhruv,i am really shameful for this horrific act strongly condemn it terrific work by nitish your unbiased thoughts and details are really inspiring and better than dhruv,Neutral
Reply,reply,Neutral
3 replies,replies,Neutral
,,Neutral
"You're absolutely right. It's frustrating how the system often overlooks the struggles of the common man. We're expected to work, pay taxes, and vote, but when we need justice or help, the process becomes unnecessarily difficult. An online association to empower and support ordinary people could be a game-changer, giving us a unified voice to demand accountability and fair treatment. It's time we stand together for our rights!",youre absolutely right its frustrating how the system often overlooks the struggles of the common man were expected to work pay taxes and vote but when we need justice or help the process becomes unnecessarily difficult an online association to empower and support ordinary people could be a gamechanger giving us a unified voice to demand accountability and fair treatment its time we stand together for our rights,Positive
Reply,reply,Neutral
I saw it because of John Abraham!!  What a thorough investigation Nitiesh. Hats off.,i saw it because of john abraham  what a thorough investigation nitiesh hats off,Neutral
Reply,reply,Neutral
"I just bow down to you.
Your way of explaining things is to the next level.
I'm from Kolkata 
And the RG Kar college is just near our house.","i just bow down to you
your way of explaining things is to the next level
im from kolkata 
and the rg kar college is just near our house",Neutral
Reply,reply,Neutral
4 replies,replies,Neutral
,,Neutral
"The fact to appreciate that you didn't add any advertisement in this video according to it seriousness and vulnerability.
Appreciated","the fact to appreciate that you didnt add any advertisement in this video according to it seriousness and vulnerability
appreciated",Positive
Reply,reply,Neutral
As a father of 4 years daughter I am angry and scared at the same time.,as a father of  years daughter i am angry and scared at the same time,Negative
Reply,reply,Neutral
5 replies,replies,Neutral
,,Neutral
"Keep doing this good work, we need more people who treat news like news not propoganda and keep the fact in fronf of us. Thanks",keep doing this good work we need more people who treat news like news not propoganda and keep the fact in fronf of us thanks,Positive
Reply,reply,Neutral
"What Dhruv Rathee talked about This case Vs What Nitish talk..
Respect for him to bravely told the truth..️","what dhruv rathee talked about this case vs what nitish talk
respect for him to bravely told the truth",Positive
Reply,reply,Neutral
53 replies,replies,Neutral
,,Neutral
नीतीश भाई आप को थैंक्स आप नै पूरी स्टोरी बिलकुल बिना किसी झूठ के बताएं थैंक यू मैं आप की मेहनत को सलाम करता हु आप आगे भी इस केस को पूरा बताना अगेन थैंक्स,,Neutral
Reply,reply,Neutral
No digression from the topic. Explained after proper research. Absolutely good,no digression from the topic explained after proper research absolutely good,Positive
Reply,reply,Neutral
"Found someone neutral and without any agenda, a long way to go brother. More power to you",found someone neutral and without any agenda a long way to go brother more power to you,Neutral
Reply,reply,Neutral
The best thing is that he doesn't use advertisements in this video. Thank you and hats off to you for this video. You have the real courage to tell the truth,the best thing is that he doesnt use advertisements in this video thank you and hats off to you for this video you have the real courage to tell the truth,Positive
Reply,reply,Neutral
2 replies,replies,Neutral
,,Neutral
"1)Editor deserves a raise
2)Researcher deserves a raise
3)Nitish Rajput needs to become the most subscribed youtuber

I am living in Kolkata and have been following the news daily,yet I do not have such intricate information about the case!!","editor deserves a raise
researcher deserves a raise
nitish rajput needs to become the most subscribed youtuber

i am living in kolkata and have been following the news dailyyet i do not have such intricate information about the case",Negative
Reply,reply,Neutral
3 replies,replies,Neutral
,,Neutral
What a coverage... Awesome...Entire News media of India couldn't clarify the case ...the way u hv done in this video...Hatsoff...,what a coverage awesomeentire news media of india couldnt clarify the case the way u hv done in this videohatsoff,Neutral
Reply,reply,Neutral
Nice video nitish bhai happy new year,nice video nitish bhai happy new year,Positive
Reply,reply,Neutral
"Jo bade bade news channels nahi bata paye wo aapne bata diya , simple language mai. Hats of you bhai keep up the good work",jo bade bade news channels nahi bata paye wo aapne bata diya  simple language mai hats of you bhai keep up the good work,Positive
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
Mamata should resign and justice for Dr Moumita!! ️️,mamata should resign and justice for dr moumita,Positive
Reply,reply,Neutral
36 replies,replies,Neutral
,,Neutral
I'm from West Bengal. You are not like Jerman Shephard. you information is fully true and correct,im from west bengal you are not like jerman shephard you information is fully true and correct,Positive
Reply,reply,Neutral
2 replies,replies,Neutral
,,Neutral
"Nitish bhai is undoubtedly the best youtuber i have ever seen these days... सच में बिना किसी पक्षपात और बिना किसी डर के बेबाकी से सच बताने का ये अंदाज काफी खास है भाई का 
Hats off to you bhai 🫡","nitish bhai is undoubtedly the best youtuber i have ever seen these days                       
hats off to you bhai",Positive
Reply,reply,Neutral
"Very detailed analysis bro. Nice video. Thanks for keeping us all informed.

May the God bless the victim's parents with patience, courage and determination to keep raising yheir voice at every platform for justice.","very detailed analysis bro nice video thanks for keeping us all informed

may the god bless the victims parents with patience courage and determination to keep raising yheir voice at every platform for justice",Positive
Reply,reply,Neutral
"Proper fair report, without any political views, hats off.. We want Justice",proper fair report without any political views hats off we want justice,Positive
Reply,reply,Neutral
"Dhruv: trust me bro 
Nitish: source link in the discription","dhruv trust me bro 
nitish source link in the discription",Positive
Reply,reply,Neutral
12 replies,replies,Neutral
,,Neutral
Shame on Kolkata police. Shame on Kolkata government.,shame on kolkata police shame on kolkata government,Negative
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
Thanks for the information please provide more,thanks for the information please provide more,Positive
Reply,reply,Neutral
"I can literally see the level of research you have done before posting this video. It shows that you don’t have any prejudice regardless of the political parties. 
You have that धैर्य in your explanation and that keeps everyone engaged.","i can literally see the level of research you have done before posting this video it shows that you dont have any prejudice regardless of the political parties 
you have that  in your explanation and that keeps everyone engaged",Positive
Reply,reply,Neutral
"I hope this channel never ends and keeps spreading knowledge 
we all are proud to have you","i hope this channel never ends and keeps spreading knowledge 
we all are proud to have you",Positive
Reply,reply,Neutral
19 replies,replies,Neutral
,,Neutral
"This guy has much better facts and presents them more nicely and in a precise way than the new channels or newspapers. Wow, fantastic work.",this guy has much better facts and presents them more nicely and in a precise way than the new channels or newspapers wow fantastic work,Positive
Reply,reply,Neutral
"Finally Aaj Clarification Mila 
Thank you bhaiiii","finally aaj clarification mila 
thank you bhaiiii",Positive
Reply,reply,Neutral
"Clean and honest reporting without any masala. I hope the doctor gets justice, and may God give strength to her parents. I cannot imagine what they are going through after losing their only child.",clean and honest reporting without any masala i hope the doctor gets justice and may god give strength to her parents i cannot imagine what they are going through after losing their only child,Positive
Reply,reply,Neutral
"I am a resident of Kolkata,, 3 km away from r g kar medical College,, details you have share in this case even I don't know.. fabulous bro..hats off..",i am a resident of kolkata  km away from r g kar medical college details you have share in this case even i dont know fabulous brohats off,Negative
Reply,reply,Neutral
9 replies,replies,Neutral
,,Neutral
"Thank you... For raising your voice. You have mentioned every minute details. 
 Justice for R.G.KAR.","thank you for raising your voice you have mentioned every minute details 
 justice for rgkar",Positive
Reply,reply,Neutral
Detailed analysis good work,detailed analysis good work,Positive
Reply,reply,Neutral
"""Rape is not just an attack on the body, it is an attack on the soul.""
— Unknown","rape is not just an attack on the body it is an attack on the soul
 unknown",Negative
Reply,reply,Neutral
1 reply,reply,Neutral
,,Neutral
Who wants mamta banerjee to be removed from the post of cm,who wants mamta banerjee to be removed from the post of cm,Neutral
Reply,reply,Neutral
46 replies,replies,Neutral
,,Neutral
"I've never commented or subscribed to a YouTube channel until now, but I feel accountable for doing so for Nitish. The outstanding presentation and well-researched information, rich in factual insights, stand out. Keep up the wonderful effort, Nitish!
I genuinely hope that justice gets served and this video reaches billions of people.","ive never commented or subscribed to a youtube channel until now but i feel accountable for doing so for nitish the outstanding presentation and wellresearched information rich in factual insights stand out keep up the wonderful effort nitish
i genuinely hope that justice gets served and this video reaches billions of people",Positive
